Código,Nombre,Apellido,Ti­tulo,Fecha,Hora,Acción,Identificación
B0002,Dan,Brown,Kod Leonarda da Vinci,27/10/2022,03:45,nuevo,111111
B0002,Dan,Brown,Kod Leonarda da Vinci,27/10/2022,03:50,prestado,234567
B0002,Dan,Brown,Kod Leonarda da Vinci,27/10/2022,04:25,nuevo,123456
K0121,Stephen,King,Carrie,27/10/2022,11:42,devuelto,34534564564
K0121,Stephen,King,Carrie,27/10/2022,12:51,prestado,2134134
K0121,Stephen,King,Carrie,27/10/2022,13:39,prestado,123456
K0121,Stephen,King,Carrie,27/10/2022,13:52,nuevo,2345324
K0121,Stephen,King,Carrie,27/10/2022,18:43,nuevo,tarjeta
K0121,Stephen,King,Carrie,28/10/2022,00:57,nuevo,1231432
K0121,Stephen,King,Carrie,28/10/2022,01:08,prestado,34546578
K0121,Stephen,King,Carrie,28/10/2022,01:26,prestado,4352567
K0121,Stephen,King,Carrie,28/10/2022,01:54,nuevo,1231
K0121,Stephen,King,Carrie,28/10/2022,01:57,prestado,
K0121,Stephen,King,Carrie,28/10/2022,01:57,prestado,234245
K0121,Stephen,King,Carrie,28/10/2022,01:57,prestado,234245
K0121,Stephen,King,Carrie,28/10/2022,02:02,devuelto,5645657
